Command,Description
cmd < file,Input of cmd is taken from file.
cmd > file,Standard output (stdout) of cmd is redirected to file.
cmd 2> file,Error output (stderr) of cmd is redirected to file.
cmd 2>&1,stderr is redirected to the same place as stdout.
cmd1 <(cmd2),Output of cmd2 is used as the input file for cmd1.
cmd > /dev/null,Discards the stdout of cmd by sending it to the null device.
cmd &> file,Every output of cmd is redirected to file.
cmd 1>&2,stdout is redirected to the same place as stderr.
cmd >> file,Appends the stdout of cmd to file.
export VARIABLE_NAME=value,Sets the value of an environment variable.
echo $VARIABLE_NAME,Displays the value of a specific environment variable.
env,Lists all environment variables currently set in the system.
unset VARIABLE_NAME,Unsets or removes an environment variable.
export -p,Shows a list of all currently exported environment variables.
env VAR1=value COMMAND,Sets the value of an environment variable for a specific command.
printenv,Displays the values of all environment variables.
who,Show who is currently logged in.
sudo adduser username,Create a new user account on the system with the specified username.
finger,"Display information about all the users currently logged into the system, including their usernames, login time, and terminal."
sudo deluser USER GROUPNAME,Remove the specified user from the specified group.
last,Show the recent login history of users.
finger username,"Provide information about the specified user, including their username, real name, terminal, idle time, and login time."
sudo userdel -r username,"Delete the specified user account from the system, including their home directory and associated files. The -r option ensures the removal of the user’s files."
sudo passwd -l username,"Lock the password of the specified user account, preventing the user from logging in."
su – username,Switch to another user account with the user’s environment.
sudo usermod -a -G GROUPNAME USERNAME,Add an existing user to the specified group. The user is added to the group without removing them from their current groups.
